Description,ASIN,Product Description,Manufacturer
URBAN TRIBE Fitpack Neo Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym backpack with Shoe Compartment,Not available,"A smaller yet hyperfunctional backpack in the Fitpack series. This stylish backpack for college students is compact and super light with amazing features. It has three compartments to keep all your daily essentials. One laptop compartment that can accommodate a 15.6 inch laptop as well as a tab. A front compartment with an organizer so good it can hold all your stationery and electronic gadgets and accessories. Moreover, there is a keyholder so you can access your keys when you need them without having to fish for them. In addition to that, the front pocket can hold some books as well as a diary. You can fit a few other miscellaneous items you may need during the day. Another helpful compartment is the separate shoe compartment. You can use this to keep an extra pair of shoes or sandals if you may need them. The back padding and shoulder straps are well ventilated and soft. The bag is designed with reflective branding to keep you safe in the dark. It warns others of your presence and avoids accidents. Fitpack Neo is not only a stylish backpack for college students but also a great travel backpack. Just throw in your clothes and travel essentials and hit the road.",Not available
URBAN TRIBE Fitpack Pro Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym Backpack with Shoe Compartment,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
Not available,Not available,Not available,Not available
