Product URL,Product Name,Product Price,Rating,Number of reviews
/sspa/click?ie=UTF8&spc=MToxNjIzNzE4NDMwMzE5NjU1OjE2OTc2NDQzMTg6c3BfYXRmOjMwMDA3NDk2NDM5NTMzMjo6MDo6&url=%2FUrban-Tribe-Backpack-Separate-Compartment%2Fdp%2FB07SKBCWJJ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644318%26sprefix%3Dba%252C%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,URBAN TRIBE Fitpack Neo Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym backpack with Shoe Compartment,"1,829",3.8 out of 5 stars,No reviews
/sspa/click?ie=UTF8&spc=MToxNjIzNzE4NDMwMzE5NjU1OjE2OTc2NDQzMTg6c3BfYXRmOjMwMDA3NDk3MDU0MjEzMjo6MDo6&url=%2FUrban-Tribe-Backpack-Separate-Compartment%2Fdp%2FB07KFGNWH8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644318%26sprefix%3Dba%252C%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,URBAN TRIBE Fitpack Pro Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym Backpack with Shoe Compartment,"2,289",3.9 out of 5 stars,No reviews
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697644318&sprefix=ba%2C%2Caps%2C283&sr=8-3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),499,4.3 out of 5 stars,No reviews
/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697644318&sprefix=ba%2C%2Caps%2C283&sr=8-4,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,049",4.0 out of 5 stars,No reviews
/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1697644318&sprefix=ba%2C%2Caps%2C283&sr=8-5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3 out of 5 stars,No reviews
https://aax-eu.amazon.in/x/c/RDOeqUHczdT-1ssc-POgTfYAAAGLQ3yQygMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDq_tAH/https://www.amazon.in/JD-Expandable-Waterproof-Sakura-Pink/dp/B0BRNP6M1D/ref=sxin_14_sbv_search_btf?content-id=amzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e%3Aamzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BRNP6M1D&pd_rd_r=2fe5fbb6-f53f-41c0-a7c0-9eff24e460df&pd_rd_w=8Xolb&pd_rd_wg=Z2WGS&pf_rd_p=10447c6b-3f84-4df3-b999-01a8bbbf010e&pf_rd_r=8DMW98S5G5EDEQ75D9GW&qid=1697644318&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2C%2Caps%2C283&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351,"JD Fresh Nylon 41 Liter Expandable Travel Bags for Women, Duffle Bags for Women Luggage, Foldable Vanity Traveling Bag, Waterproof Hand Bag for Ladies Personal Items (Sakura Pink,41 x 22 x 26 CM cm)",731,3.9 out of 5 stars,No reviews
/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD/ref=sxin_15_trfobq2av2_0_B0C8NSJ4RD?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C8NSJ4RD&pd_rd_r=2fe5fbb6-f53f-41c0-a7c0-9eff24e460df&pd_rd_w=HhFK0&pd_rd_wg=Z2WGS&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=8DMW98S5G5EDEQ75D9GW&qid=1697644318&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2C%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.0 out of 5 stars,No reviews
/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD/ref=sxin_15_trfobq2av2_0_B0C8NSJ4RD?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C8NSJ4RD&pd_rd_r=2fe5fbb6-f53f-41c0-a7c0-9eff24e460df&pd_rd_w=HhFK0&pd_rd_wg=Z2WGS&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=8DMW98S5G5EDEQ75D9GW&qid=1697644318&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2C%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Amazon Basics Opel Laptop Bag/Office/College Backpack for 15.6 inch laptop(20 L, Grey)",499,4.0 out of 5 stars,No reviews
/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_15_trfobq2av2_1_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=2fe5fbb6-f53f-41c0-a7c0-9eff24e460df&pd_rd_w=HhFK0&pd_rd_wg=Z2WGS&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=8DMW98S5G5EDEQ75D9GW&qid=1697644318&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2C%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,Amazon Basics Laptop Backpack,599,4.2 out of 5 stars,No reviews
/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB/ref=sxin_15_trfobq2av2_2_B09W4WJ1CB?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4WJ1CB&pd_rd_r=2fe5fbb6-f53f-41c0-a7c0-9eff24e460df&pd_rd_w=HhFK0&pd_rd_wg=Z2WGS&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=8DMW98S5G5EDEQ75D9GW&qid=1697644318&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2C%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,359,4.0 out of 5 stars,No reviews
